,date,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
116,2021/12/30,9204,9262,9485.2,9473.8,9488.3,222440,357236,391892
117,2021/12/29,9202,9292,9492.67,9476.5,9492.6,217780,355800,397266
118,2021/12/28,9172,9321.6,9501.33,9479.8,9495.6,223000,361700,399364
119,2021/12/27,9144,9357.6,9512.53,9484,9496.8,210140,355660,402225
120,2021/12/24,9118,9398.4,9524.53,9489.2,9498.1,230260,372560,406085
121,2021/12/23,9128,9424,9532.13,9488,9499.45,307420,379972,409169
122,2021/12/22,9180,9450.8,9538.27,9488.3,9500,359960,389708,412670
123,2021/12/21,9248,9486.8,9542.27,9489.6,9500.5,369440,395180,411933
124,2021/12/20,9276,9526,9546.27,9492.2,9501.1,384180,397824,410836
125,2021/12/17,9312,9564.8,9549.73,9494.9,9501.45,398820,404944,413462
126,2021/12/16,9292,9584.4,9551.33,9493.6,9502.2,364100,396472,410261
127,2021/12/15,9240,9598.8,9548.93,9488.5,9501.65,337660,399620,407080
128,2021/12/14,9242,9616,9546.8,9484.1,9502.3,346480,402936,406385
129,2021/12/13,9276,9641.6,9546.27,9483.2,9502.2,347120,402172,408152
130,2021/12/10,9270,9663.6,9542.53,9482.7,9502.7,386360,410460,408988
131,2021/12/9,9310,9693.2,9538.8,9483.7,9503.65,395440,417388,412301
132,2021/12/8,9304,9712.8,9531.73,9486.6,9506.3,417760,426780,419016
133,2021/12/7,9290,9721.2,9528.13,9486.8,9508.5,421240,438284,422206
134,2021/12/6,9278,9732.4,9529.6,9485.4,9510,517280,459004,420465
135,2021/12/3,9322,9757.2,9531.2,9485.9,9511.95,504640,454924,417417
136,2021/12/2,9376,9772.4,9530.93,9484.6,9512.25,496780,455184,415334
137,2021/12/1,9534,9792,9537.47,9487.9,9514.15,445840,450416,413657
138,2021/11/30,9656,9799.2,9541.73,9489.6,9515.8,448340,449328,411714
139,2021/11/29,9814,9808.8,9546,9492.5,9516.9,319580,425476,404345
140,2021/11/26,9970,9817.2,9547.47,9494.4,9516.05,342720,419292,402914
141,2021/11/25,10014,9818,9544.4,9493.7,9512.6,336120,419428,400478
142,2021/11/24,9996,9810.8,9538,9491.5,9504.85,387320,423388,399882
143,2021/11/22,9998,9806,9532.53,9490.8,9496.3,390400,424768,397548
144,2021/11/19,9986,9789.2,9526.13,9489.4,9488.1,420960,442956,400756
145,2021/11/18,9950,9756,9519.47,9485.5,9480.45,392180,435224,401868
146,2021/11/17,9930,9726,9509.33,9483.8,9473.8,389920,436588,407526
147,2021/11/16,9920,9694,9500.8,9482.2,9467.95,409520,433396,406341
